city,lat,lng,Region
Athens,37.9794,23.7161,Attiki
Piraeus,37.95,23.7,Attiki
Thessaloniki,40.6333,22.95,Kentriki Makedonia
Patra,38.25,21.7333,Dytiki Ellada
Larisa,39.6385,22.4131,Thessalia
Irakleio,35.3333,25.1333,Kriti
Peristeri,38.0167,23.6833,Attiki
Kallithea,37.95,23.7,Attiki
Nikaia,37.9667,23.6333,Attiki
Glyfada,37.88,23.7533,Attiki
Volos,39.3611,22.9425,Thessalia
Chalandri,38.0167,23.8,Attiki
Kalamata,37.0389,22.1142,Peloponnisos
Nea Ionia,38.0333,23.75,Attiki
Ioannina,39.6647,20.8519,ipeiros
Trikala,39.55,21.7667,Thessalia
Chalkida,38.4625,23.595,Sterea Ellada
Serres,41.0833,23.55,Kentriki Makedonia
Alexandroupoli,40.85,25.8667,Anatoliki Makedonia kai Thraki
Rodos,36.4412,28.2225,Notio Aigaio
Xanthi,41.1333,24.8833,Anatoliki Makedonia kai Thraki
Katerini,40.2667,22.5,Kentriki Makedonia
Kavala,40.9396,24.4069,Anatoliki Makedonia kai Thraki
Chania,35.5167,24.0167,Kriti
Lamia,38.8972,22.4311,Sterea Ellada
Komotini,41.1167,25.4,Anatoliki Makedonia kai Thraki
Agrinio,38.6167,21.4,Dytiki Ellada
Drama,41.1514,24.1392,Anatoliki Makedonia kai Thraki
Veroia,40.5203,22.2019,Kentriki Makedonia
Kozani,40.3007,21.789,Dytiki Makedonia
Karditsa,39.3647,21.9219,Thessalia
Rethymno,35.3667,24.4667,Kriti
Tripoli,37.5083,22.375,Peloponnisos
Korinthos,37.9333,22.9333,Peloponnisos
Giannitsa,40.7962,22.4145,Kentriki Makedonia
Mytilini,39.1114,26.5621,Voreio Aigaio
Chios,38.3725,26.1375,Voreio Aigaio
Nea Filadelfeia,38.035,23.7381,Attiki
Salamina,37.9333,23.5,Attiki
Elefsina,38.0414,23.5453,Attiki
Kerkyra,39.6239,19.9214,Ionia Nisia
Pyrgos,37.6667,21.4333,Dytiki Ellada
Megara,38,23.3333,Attiki
Kilkis,40.9954,22.8765,Kentriki Makedonia
Pefki,38.0667,23.8,Attiki
Livadeia,38.4333,22.8667,Sterea Ellada
Kos,36.8442,27.1572,Notio Aigaio
Preveza,38.95,20.75,ipeiros
Orestiada,41.5,26.5333,Anatoliki Makedonia kai Thraki
edessa,40.8,22.05,Kentriki Makedonia
Sparti,37.0819,22.4236,Peloponnisos
Thermi,40.5472,23.0197,Kentriki Makedonia
Alexandreia,40.6283,22.4454,Kentriki Makedonia
Paiania,37.95,23.85,Attiki
Nafplio,37.5667,22.8,Peloponnisos
Nafpaktos,38.3917,21.8275,Dytiki Ellada
Kastoria,40.5181,21.2688,Dytiki Makedonia
Kalymnos,36.9512,26.9832,Notio Aigaio
Ermoupoli,37.4504,24.9333,Notio Aigaio
agios Nikolaos,35.1892,25.7173,Kriti
Tyrnavos,39.7353,22.2869,Thessalia
Diavata,40.6883,22.8583,Kentriki Makedonia
Kiato,38.0117,22.7467,Peloponnisos
Anatoli,39.6386,20.8661,ipeiros
Argostoli,38.1739,20.4883,Ionia Nisia
Lykovrysi,38.0667,23.7833,Attiki
Porto Rafti,37.8844,24.0125,Attiki
Nea Artaki,38.5167,23.6333,Sterea Ellada
Zefyri,38.0667,23.7167,Attiki
Siteia,35.2,26.1,Kriti
Nea Moudania,40.2386,23.2814,Kentriki Makedonia
Farsala,39.2833,22.3833,Thessalia
Sindos,40.6667,22.8,Kentriki Makedonia
Didymoteicho,41.35,26.5,Anatoliki Makedonia kai Thraki
Spata,37.9667,23.9167,Attiki
Epanomi,40.4261,22.9281,Kentriki Makedonia
Chrysoupoli,40.9833,24.7,Anatoliki Makedonia kai Thraki
Nea Peramos,38,23.4167,Attiki
Kalampaka,39.7044,21.6269,Thessalia
Almyros,39.18,22.76,Thessalia
Koufalia,40.7792,22.5767,Kentriki Makedonia
Giannouli,39.6672,22.3958,Thessalia
Lagkadas,40.75,23.0667,Kentriki Makedonia
Mournies,35.485,24.013,Kriti
argos Orestiko,40.4525,21.2581,Dytiki Makedonia
Elassona,39.8947,22.1886,Thessalia
Chalastra,40.6267,22.7322,Kentriki Makedonia
Nea Kallikrateia,40.3139,23.0633,Kentriki Makedonia
Karpenisi,38.9203,21.7833,Sterea Ellada
Marathonas,38.155,23.9636,Attiki
Lavrio,37.7,24.05,Attiki
Polykastro,40.9954,22.5714,Kentriki Makedonia
Litochoro,40.1028,22.5069,Kentriki Makedonia
amfissa,38.5253,22.3753,Sterea Ellada
Aigina,37.7467,23.4275,Attiki
Neo Karlovasi,37.7917,26.7051,Voreio Aigaio
Kato Achaia,38.15,21.55,Dytiki Ellada
Aridaia,40.975,22.0583,Kentriki Makedonia
